video id,views,likes,dislikes,comment_count
ryqZUqgjvW8,"113,702","2,701",472,"1,042"
I-5CODzeGEE,"156,233","7,100",142,"1,122"
FEjZiCPuvqQ,"82,249","2,748",59,0
ENr6CXm1YxU,"349,755","4,538",147,137
3x0usYgljOk,"20,941",306,5,88
YVfyYrEmzgM,"757,128","16,489",193,828
jGiqc3HSxEg,"481,344","19,415",333,747
R9c-_neaxeU,"228,624","8,548",87,788
5E4ZBSInqUU,"52,862,281","694,419","17,073",0
VonJ4ASDO40,"656,695","12,074",941,"2,616"
puqaWrEC7tY,"1,236,563","20,207","1,618",0
vU14JY3x81A,"1,622,164","41,115",528,"16,951"
lZ68j2J_GOM,"596,404","23,603",377,557
iyrefjMs64k,"91,270","2,492",893,944
5qpjK5DgCt4,"14,106,873","288,015","10,514","12,968"
zZ9FciUx6gs,"1,528,635","27,323","1,558","1,957"
SGVbdo2CkgI,"498,739","9,323",147,198
zxUwbflE1SY,"1,119,362","14,978",361,"5,028"
NfLVVJOuY5M,"396,980","15,851",71,580
GKUE2U2qlzY,"1,003,324","8,133",123,534
N0tmF4j4K6g,"65,125","2,454",21,166
PaJCFHXcWmM,"2,720,100","23,423","1,059","1,444"
Hq89wYzOjfs,"639,567","6,946",393,0
d380meD0W0M,"4,171,167","179,712","2,872","25,310"
MltuW2kcREI,"3,751,433","106,192","1,126","4,868"
VifQlJit6A0,"293,646","2,776",629,"2,182"
KhdecX0qjNA,"483,107","13,560",135,363
e_7zHm7GsYc,"722,572","13,096",265,0
i-LCORFB860,"2,794,745","2,410",662,406
ogYum4kWXgk,"372,012","7,343",120,0
EJu_wPGFTw0,"12,117",58,4,6
symdi5KSJts,"1,415,725","26,649",649,770
7oRdswHqaf8,"71,805","3,088",51,573
nc99ccSXST0,"2,020,059","37,275","1,415",0
F388-6yDDpc,"1,269,954","6,864",636,"3,166"
U0hAC8O7RoI,"7,710,851","114,713","23,846","10,232"
kWIzjMWmuYk,"61,645","6,496",47,"1,723"
oTObwUiXdYY,"35,583",157,46,168
_-aDHxoblr4,"426,248","19,927",197,"1,211"
kqmhCaF5_44,"128,946","1,845",142,0
eNSN6qet1kE,"1,597,021","53,277",536,"6,139"
39idVpFF7NQ,"3,969,151","24,277","3,530","2,943"
kIUHDwn51y8,"304,269","4,968",80,683
TaTleo4cOs8,"852,338","13,225",579,"2,461"
5hEJsoDP2q4,"1,534,021","59,948","1,401","2,695"
zNqCVTs38nU,"50,328",141,77,0
GgVmn66oK_A,"1,756,386","19,136","2,732",0
