video_id,publish_time,views,likes,dislikes,comment_count,new_views,new likes,new dislikes,new comment_count,views_change,likes_change,dislikes_change,comment_count_change
wx-M8sxcOp8,2017-11-20T04:57:26.000Z,1462885.0,10301.0,751.0,4623.0,1811577.0,11588.0,863.0,4473.0,348692.0,1287.0,112.0,-150.0
3oXhLdeuxDw,2017-11-20T20:16:53.000Z,1112617.0,11645.0,362.0,1943.0,1323315.0,12092.0,381.0,1796.0,210698.0,447.0,19.0,-147.0
aVpvVq_yZLM,2017-11-20T16:13:29.000Z,170075.0,696.0,849.0,1257.0,176552.0,704.0,858.0,1086.0,6477.0,8.0,9.0,-171.0
luZEZgZNFAg,2017-11-20T16:01:03.000Z,123251.0,3601.0,149.0,400.0,667135.0,14583.0,455.0,741.0,543884.0,10982.0,306.0,341.0
zOgle88sKro,2017-11-20T16:00:04.000Z,632018.0,22877.0,193.0,1065.0,803640.0,26597.0,229.0,1160.0,171622.0,3720.0,36.0,95.0
YkLzdHTv3G0,2017-11-20T06:00:01.000Z,806660.0,37548.0,932.0,2027.0,923197.0,40255.0,1005.0,1771.0,116537.0,2707.0,73.0,-256.0
FZ_jNGKCIWs,2017-11-20T16:04:02.000Z,128287.0,5310.0,490.0,1624.0,456345.0,10897.0,873.0,2163.0,328058.0,5587.0,383.0,539.0
G_UHknhNbAQ,2017-11-20T13:01:34.000Z,651781.0,17478.0,604.0,2845.0,1278260.0,25973.0,1022.0,3952.0,626479.0,8495.0,418.0,1107.0
iBy6XRHPODQ,2017-11-20T14:58:54.000Z,976530.0,22988.0,154.0,1665.0,1955893.0,30369.0,277.0,1938.0,979363.0,7381.0,123.0,273.0
dLRZTBtdMUg,2017-11-20T19:13:47.000Z,206873.0,3362.0,128.0,144.0,243692.0,3822.0,135.0,0.0,36819.0,460.0,7.0,-144.0
vNya04dlC4I,2017-11-20T15:38:58.000Z,62644.0,198.0,281.0,236.0,76710.0,212.0,292.0,228.0,14066.0,14.0,11.0,-8.0
ZkPSbp3zTfo,2017-11-19T07:13:11.000Z,3383838.0,63060.0,3779.0,7123.0,5709302.0,105209.0,4959.0,8465.0,2325464.0,42149.0,1180.0,1342.0
euaGS3tPRBw,2017-11-19T17:59:04.000Z,2143706.0,27662.0,2086.0,2934.0,3082520.0,39095.0,2395.0,3145.0,938814.0,11433.0,309.0,211.0
X_tYrnv_o6A,2017-11-20T15:00:02.000Z,502040.0,32735.0,236.0,4000.0,750909.0,40848.0,322.0,4425.0,248869.0,8113.0,86.0,425.0
FaJmopuuhZE,2017-11-20T16:00:08.000Z,186119.0,4727.0,178.0,567.0,596975.0,8179.0,325.0,0.0,410856.0,3452.0,147.0,-567.0
iatq3Rn4vsg,2017-11-20T13:00:04.000Z,364914.0,10007.0,187.0,1143.0,1645786.0,33240.0,462.0,2579.0,1280872.0,23233.0,275.0,1436.0
TIQqb80eg24,2017-11-20T04:45:11.000Z,2623238.0,119787.0,1975.0,10218.0,6219877.0,200968.0,3643.0,12413.0,3596639.0,81181.0,1668.0,2195.0
f45Va7jMSx4,2017-11-19T23:02:11.000Z,159384.0,4667.0,187.0,281.0,354269.0,8867.0,251.0,364.0,194885.0,4200.0,64.0,83.0
qv9Gt38LOKQ,2017-11-20T14:00:07.000Z,726679.0,25676.0,614.0,2624.0,1205570.0,31484.0,909.0,0.0,478891.0,5808.0,295.0,-2624.0
r4a5ZzHclCs,2017-11-20T13:47:06.000Z,56071.0,3074.0,51.0,273.0,119425.0,4936.0,71.0,275.0,63354.0,1862.0,20.0,2.0
uLHygq6Mm-0,2017-11-20T17:08:25.000Z,88667.0,1120.0,58.0,207.0,117937.0,1143.0,59.0,194.0,29270.0,23.0,1.0,-13.0
aD5dCMBeySA,2017-11-20T14:04:16.000Z,154224.0,1584.0,63.0,272.0,233255.0,2170.0,91.0,300.0,79031.0,586.0,28.0,28.0
U44YLdW9AL4,2017-11-19T12:35:07.000Z,270360.0,11727.0,359.0,1685.0,466269.0,15258.0,442.0,2003.0,195909.0,3531.0,83.0,318.0
cyhU06cXfeU,2017-11-19T19:28:53.000Z,1456636.0,93590.0,895.0,15339.0,2215396.0,103749.0,1089.0,16457.0,758760.0,10159.0,194.0,1118.0
Djxjmq9pvrM,2017-11-19T17:00:01.000Z,166906.0,4418.0,226.0,399.0,214637.0,5006.0,242.0,377.0,47731.0,588.0,16.0,-22.0
KQkkgD2p3Ow,2017-11-20T16:00:02.000Z,410133.0,7726.0,606.0,1097.0,1895616.0,13701.0,1283.0,1403.0,1485483.0,5975.0,677.0,306.0
