views_change,likes,dislikes,comment_count,views,publish_time
3206958,191479,1240,31447,3042679,209
123036,90657,2709,77113,1676887,201
60218,4641,397,616,297405,200
776901,431,43,225,481259,201
137180,1617,100,365,64107,202
3096104,9526,183,761,162864,204
68689,40715,1196,2789,1891032,205
4429585,377131,4362,18752,4625928,206
63463,5225,215,444,139263,206
143546,6119,729,609,253615,206
25483,1216,38,113,61665,207
4802879,94910,1284,4317,2956442,200
223440,3798,93,167,315148,199
137260,12448,146,1474,713574,201
177531,9606,512,4254,1034272,201
4768,860,305,367,213423,202
43165,47673,2380,4038,2600608,204
11981,474,64,96,25512,204
77103432,397715,6677,20481,11773962,206
65834,8154,392,612,152796,205
930,150,36,116,20631,205
229125,14935,878,1278,563514,199
659548,46102,1227,5513,1895941,200
1293799,225422,8704,41490,2305537,201
40434,4553,400,1285,104249,200
429041,24030,282,2450,469432,201
118955,5621,224,229,298298,203
189810,4123,90,263,244593,205
643440,21698,1193,7503,1110127,207
389861,25255,1985,2787,945446,198
134009,30661,1520,30973,742087,199
83551,11511,252,535,181238,199
662097,27814,381,2827,888717,200
1573631,204175,1810,8675,3185320,201
1665715,170182,1263,9823,1805597,203
8769,2263,176,226,64294,203
1924793,8105,557,1562,731180,205
503962,1191,125,139,114012,206
37696,0,0,0,930151,197
6048,1023,96,636,155923,197
73531,21096,702,3561,497856,199
287000,3658,86,0,313708,198
14553506,48246,453,854,992294,199
596745,14674,506,4186,421136,201
1307013,169237,3077,37319,1836595,203
2219834,51259,2250,16548,1820485,205
14246,5207,292,283,129312,196
25958,2004,1595,1134,578416,197
747362,43626,1962,2770,1704711,198
2638440,31111,910,6296,2066897,200
652885,58191,1074,1839,1271958,201
469309,7408,1344,1548,422979,200
1405,1310,44,483,36346,201
19603359,406136,10447,21468,9537066,204
217200,10146,252,764,309933,205
259143,3502,823,924,476604,194
2965,745,103,179,42199,194
45696516,2672431,29088,477233,23416810,198
139631,28342,515,1230,370481,199
171671,24060,955,2287,1089753,200
7042089,9035,693,343,1606993,201
4620,2303,132,617,84137,201
38608,1277,247,119,96756,203
1025371,152236,1883,203884,2309169,206
581285,32386,1241,1537,1073831,194
13087,2518,424,1061,372037,194
8775,581,51,151,68011,194
192680,8157,511,916,1587545,197
373442,19333,145,744,261520,198
138948,19776,167,1855,292030,199
345274,32657,2501,7025,2167517,201
1841925,37279,1646,3056,836483,203
14472927,479898,22610,42478,19412787,194
1329505,73781,656,5994,1010818,194
759013,20118,1591,6811,1563582,195
1313964,20609,4302,3114,2085977,195
36002,5401,1181,0,472551,197
2128090,90028,1958,3881,3087952,199
1587856,11866,458,780,607765,199
747032,25929,1031,5380,576742,201
552025,29211,750,1691,739428,201
42550,6122,621,947,218903,191
86031,32022,189,2183,380230,193
205004,6929,217,715,288553,193
3312911,238566,2019,8814,3187327,194
45742,21476,177,2136,178717,196
955180,19598,1854,4509,1129870,198
1471019,75945,4023,10393,3617347,200
74671,5224,228,874,152533,200
85456,31672,2512,6049,659476,203
203676,13124,400,3029,446482,191
2759164,87201,2482,9493,3259936,193
162065,0,0,0,1062124,195
11682701,135311,8106,13501,6183923,195
96521,9168,892,1571,356012,195
24957,580,23,37,27191,194
94108,12547,526,788,282309,197
178487,63749,2833,6556,1867337,203
3333870,111866,3883,9136,4807512,191
1350448,39996,1591,4929,2288043,192
3051873,135901,1893,11141,4289238,193
1527638,64416,3742,7847,4344751,193
162784,24140,158,1352,494173,194
46339,5091,246,2007,561970,195
110533,3208,351,641,146505,197
913192,3560,89,488,301028,199
558050,76615,3502,28489,3383861,191
340062,38993,1359,6852,1084820,191
914610,73579,2400,5016,1895867,192
280105,11201,163,1077,340750,193
25788758,36119,1996,1722,3770674,197
59287,1770,357,160,369487,197
2466005,36898,1207,1888,3281144,190
699586,9611,204,666,639104,190
1751230,15535,971,2804,748313,191
23420,3024,81,526,202920,191
562126,25447,452,2114,817600,193
65215,18308,64,927,161101,194
29588327,112910,6146,6276,7441922,197
1491454,35793,759,4726,1646051,199
565951,141277,1573,10516,1467165,200
41290414,368697,11325,41083,14211432,190
603391,1659,179,166,294668,192
3891545,4926,322,512,3845880,192
69975,12597,155,545,610581,194
362145,20376,193,3899,285213,197
2290322,39025,4274,7258,1865136,185
335084,33110,406,3396,865233,187
245307,21995,285,962,491613,189
181169,5335,112,362,675659,190
276224,4030,115,374,147863,193
9511702,292251,5483,17562,6106813,195
549130,30918,704,2084,983181,184
6082924,355445,9040,22941,8244106,186
977077,162747,25088,36602,2997289,187
4531710,8415,294,615,2095289,188
980253,219928,6998,14896,3962616,189
678966,26753,839,2146,967088,191
3022783,27409,500,1814,3916992,192
2246991,52945,1233,2633,2606093,193
351806,6171,395,405,281678,192
605906,22452,212,1636,437061,195
5152237,65772,8068,3652,6131880,184
443049,29530,5810,2348,912215,185
300833,19968,487,4757,422918,187
1429649,119459,4017,26986,2204925,188
60708,9243,286,1049,329150,190
7368732,98457,17797,0,7365395,193
1335501,34023,515,1459,1045195,194
69526,23213,952,1975,1421026,187
5267195,89221,1907,3327,2986867,184
2663734,70489,1076,3714,1973349,185
86987,11390,124,925,302153,185
4252471,16788,4312,5000,6535720,187
2180183,203349,4370,10389,3266039,189
1039454,44145,3311,3423,2060702,190
421119,123187,879,9577,1669402,191
682009,21429,732,2131,700692,192
905454,24510,897,1524,931253,194
1113003,43735,2468,2998,2524578,182
7866,17268,589,1791,684913,183
119311,5193,88,326,285469,184
346811,25423,369,963,1503335,185
1588035,50925,5906,4557,3745968,188
1224695,32030,292,928,564951,192
898138,24188,2138,5072,1107554,181
23840,7991,246,915,437576,182
981662,16858,540,1312,1042805,184
1393057,26729,615,2439,1618812,185
3924210,103018,28739,17966,12218726,191
