video_id,publish_time,views,likes,dislikes,comment_count,new_views,views_change
uO_8d1t5Xh4,2017-11-22T01:25:35.000Z,832700.0,28956.0,131.0,752.0,2771850.0,1939150.0
tj3EKWwIulQ,2017-11-22T19:00:16.000Z,4050.0,0.0,0.0,0.0,20095.0,16045.0
Ft-cmkjgOlk,2017-11-22T15:48:04.000Z,23393.0,226.0,29.0,75.0,2106348.0,2082955.0
Y8JGfi4MJ8k,2008-08-07T12:16:58.000Z,26830.0,79.0,1.0,8.0,33590.0,6760.0
qXivpclxftM,2017-11-25T19:10:42.000Z,3558563.0,221868.0,4678.0,26660.0,8592329.0,5033766.0
wppAQ8uZpfQ,2017-11-26T17:00:06.000Z,644576.0,29669.0,4862.0,4963.0,940045.0,295469.0
515lLZS082U,2017-11-27T03:00:21.000Z,4046720.0,68563.0,3222.0,3700.0,15896037.0,11849317.0
iA5u80nS1PQ,2017-11-25T20:09:25.000Z,1339398.0,39094.0,1471.0,3810.0,4420062.0,3080664.0
H-kKZujl8CI,2017-11-26T13:22:34.000Z,520636.0,1005.0,395.0,261.0,535168.0,14532.0
F1b5ouja_VI,2017-11-25T19:00:34.000Z,701874.0,40666.0,528.0,1908.0,1403332.0,701458.0
pmS2oJQ8SIs,2017-11-25T18:32:33.000Z,116336.0,441.0,233.0,229.0,122675.0,6339.0
VSJ0STT8JRw,2017-11-25T17:30:01.000Z,768647.0,26303.0,841.0,2316.0,1733018.0,964371.0
sfweKCYOPFc,2017-11-25T18:00:47.000Z,295048.0,2338.0,2221.0,499.0,770678.0,475630.0
Bzji05zubSc,2017-11-26T03:11:00.000Z,737415.0,4136.0,393.0,1314.0,895758.0,158343.0
f9psILoYmCc,2017-11-26T04:00:04.000Z,965328.0,20934.0,699.0,64.0,1544295.0,578967.0
_6uvQtccJss,2017-11-25T18:55:42.000Z,1281002.0,74074.0,1208.0,50319.0,1692385.0,411383.0
uPyLIBSVrMw,2017-11-25T15:12:26.000Z,1686243.0,133400.0,530.0,23864.0,2999329.0,1313086.0
t4ZsyO1n-kA,2017-11-25T15:05:10.000Z,1058992.0,22551.0,284.0,1296.0,1786991.0,727999.0
dpLrlEBFq-0,2017-11-24T18:30:01.000Z,5827999.0,223308.0,8472.0,13866.0,21325552.0,15497553.0
VoAzRs3sE70,2017-11-25T16:00:02.000Z,268241.0,5446.0,330.0,392.0,1029351.0,761110.0
VUbsFtLkGN8,2017-11-24T13:00:06.000Z,831957.0,24840.0,1128.0,3651.0,1867915.0,1035958.0
5WUDfviiKRE,2011-03-01T04:14:08.000Z,22695.0,108.0,312.0,203.0,23109.0,414.0
PtNRJvsLHV0,2017-11-24T12:02:10.000Z,18897.0,314.0,48.0,34.0,183747.0,164850.0
npcqBt_e4k0,2017-11-23T05:00:03.000Z,553734.0,6428.0,161.0,586.0,1842946.0,1289212.0
MU29Wqg_BVo,2017-11-22T15:01:16.000Z,76351.0,5508.0,29.0,345.0,496543.0,420192.0
gO_QM9oUcM0,2012-02-13T08:18:13.000Z,87215.0,407.0,27.0,140.0,161150.0,73935.0
